Date;Open;High;Low;Close;Number of Shares;Number of Trades;Turnover
31/03/2021;6085.02;6097.74;6060.24;6067.23;0;0;3769635894
01/04/2021;6079.67;6106.12;6063.86;6102.96;0;0;3381738264
06/04/2021;6155.22;6159.10;6125.74;6131.34;0;0;3307417800
07/04/2021;6137.63;6154.38;6118.91;6130.66;0;0;2742938299
08/04/2021;6153.36;6171.45;6146.22;6165.72;0;0;3002854076
09/04/2021;6171.60;6188.48;6161.42;6169.41;0;0;2905881126
12/04/2021;6167.32;6183.02;6151.52;6161.68;0;0;2871959592
13/04/2021;6171.88;6193.24;6156.49;6184.10;0;0;3326622862
14/04/2021;6214.49;6217.74;6194.55;6208.58;0;0;2979109055
15/04/2021;6219.04;6244.23;6209.59;6234.14;0;0;3135910200
16/04/2021;6229.65;6299.56;6229.30;6287.07;0;0;4672174148
19/04/2021;6294.74;6319.08;6293.17;6296.69;0;0;2941859497
20/04/2021;6281.10;6285.29;6154.03;6165.11;0;0;4424527304
21/04/2021;6180.69;6227.04;6178.66;6210.55;0;0;3539281150
22/04/2021;6230.21;6274.19;6225.59;6267.28;0;0;3246827528
23/04/2021;6259.63;6280.81;6227.19;6257.94;0;0;2879970121
26/04/2021;6256.04;6288.79;6240.99;6275.52;0;0;2872404030
27/04/2021;6273.36;6282.52;6255.41;6273.76;0;0;2999177447
28/04/2021;6293.21;6320.11;6283.62;6306.98;0;0;2976340729
29/04/2021;6341.12;6352.36;6287.44;6302.57;0;0;3544909255
30/04/2021;6316.32;6320.14;6268.86;6269.48;0;0;3732589443
03/05/2021;6285.51;6314.92;6252.66;6307.90;0;0;2619064499
04/05/2021;6319.49;6355.87;6238.79;6251.75;0;0;3968749426
05/05/2021;6284.54;6339.47;6275.14;6339.47;0;0;3836603343
06/05/2021;6348.90;6377.58;6321.72;6357.09;0;0;4075298514
07/05/2021;6388.92;6390.04;6342.37;6385.51;0;0;3438832084
10/05/2021;6395.38;6395.60;6367.04;6385.99;0;0;3283466320
11/05/2021;6314.27;6324.31;6226.11;6267.39;0;0;4491566245
12/05/2021;6259.63;6299.24;6233.96;6279.35;0;0;3640086411
13/05/2021;6219.73;6303.70;6150.43;6288.33;0;0;2844767960
14/05/2021;6335.82;6385.67;6301.19;6385.14;0;0;3077069290
17/05/2021;6397.22;6410.21;6349.33;6367.35;0;0;2657496175
18/05/2021;6406.18;6412.91;6343.55;6353.67;0;0;3010560478
19/05/2021;6292.05;6310.49;6192.33;6262.55;0;0;3924828023
20/05/2021;6296.25;6343.58;6267.55;6343.58;0;0;3175208239
21/05/2021;6360.88;6402.10;6351.95;6386.41;0;0;4063223995
24/05/2021;6395.96;6408.49;6382.71;6408.49;0;0;1597781028
25/05/2021;6416.61;6422.83;6390.27;6390.27;0;0;2857743734
26/05/2021;6403.95;6413.72;6375.14;6391.60;0;0;2699692254
27/05/2021;6379.83;6467.72;6379.83;6435.71;0;0;6941147360
